City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
202,Puerto Escondido,MX,2022-03-21 08:54:31,15.85,-97.0667,78.06,68,0,5.99,clear sky,0,0
203,Constitucion,CL,2022-03-21 08:54:31,-35.3333,-72.4167,58.87,89,68,4.03,broken clouds,0,0
204,Poya,NC,2022-03-21 08:54:31,-21.35,165.15,76.96,82,87,6.15,overcast clouds,0,0
205,New Norfolk,AU,2022-03-21 08:54:32,-42.7826,147.0587,66.9,54,100,3.04,overcast clouds,0,0
206,Itarema,BR,2022-03-21 08:54:32,-2.9248,-39.9167,75.02,91,93,7.38,overcast clouds,0,0
207,Hithadhoo,MV,2022-03-21 08:54:33,-0.6,73.0833,84.33,70,50,16.96,scattered clouds,0,0
208,Aizawl,IN,2022-03-21 08:54:33,23.7333,92.7167,91.2,16,8,3.44,haze,0,0
209,Vao,NC,2022-03-21 08:54:33,-22.6667,167.4833,78.82,69,99,12.91,overcast clouds,0,0
210,Odweyne,SO,2022-03-21 08:54:34,9.4092,45.064,85.46,27,10,10.02,clear sky,0,0
211,Hovd,MN,2022-03-21 08:54:34,48.0056,91.6419,34.34,15,0,3.67,clear sky,0,0
212,Sistranda,NO,2022-03-21 08:54:35,63.7256,8.834,40.96,67,0,6.42,clear sky,0,0
213,Majene,ID,2022-03-21 08:54:35,-3.5403,118.9707,83.41,77,85,6.31,overcast clouds,0,0
214,Vila Franca Do Campo,PT,2022-03-21 08:54:36,37.7167,-25.4333,59.41,70,95,16.96,overcast clouds,0,0
215,Pec,XK,2022-03-21 08:54:36,42.6591,20.2883,38.68,49,0,6.02,clear sky,0,0
216,Port Lincoln,AU,2022-03-21 08:54:36,-34.7333,135.8667,66.81,75,100,7.36,overcast clouds,0,0
217,Uyuni,BO,2022-03-21 08:54:37,-20.4597,-66.825,49.19,74,98,9.6,overcast clouds,0,0
218,Paka,MY,2022-03-21 08:54:37,4.6374,103.4368,85.98,79,40,6.91,scattered clouds,0,0
219,Liverpool,GB,2022-03-21 08:54:38,53.4106,-2.9779,44.82,80,20,9.22,haze,0,0
220,Ryomgard,DK,2022-03-21 08:54:38,56.3843,10.503,43.61,61,0,10.36,clear sky,0,0
221,Maceio,BR,2022-03-21 08:54:38,-9.6658,-35.7353,76.44,94,40,3.44,scattered clouds,0,0
222,Fairbanks,US,2022-03-21 08:52:37,64.8378,-147.7164,4.96,61,0,9.22,clear sky,0,0
223,Port-Gentil,GA,2022-03-21 08:54:39,-0.7193,8.7815,82.36,83,40,10.36,scattered clouds,0,0
224,Barrow,US,2022-03-21 08:54:40,71.2906,-156.7887,-16.35,90,30,8.88,scattered clouds,0,0
225,Carnaiba,BR,2022-03-21 08:54:40,-8.7,-37.6667,72.01,91,49,2.84,scattered clouds,0,0
226,Ha Tinh,VN,2022-03-21 08:54:40,18.3333,105.9,82.81,73,60,6.73,broken clouds,0,0
227,Tatawin,TN,2022-03-21 08:54:41,32.9297,10.4518,56.97,55,26,18.61,scattered clouds,0,0
228,Uray,RU,2022-03-21 08:54:41,60.1247,64.7758,29.19,94,100,13.09,light snow,0,0
229,Dudinka,RU,2022-03-21 08:54:42,69.4058,86.1778,6.62,93,17,8.99,few clouds,0,0
230,Manaure,CO,2022-03-21 08:51:49,11.7751,-72.4445,76.55,77,91,13.13,overcast clouds,0,0
231,Rio Grande,BR,2022-03-21 08:50:17,-32.035,-52.0986,61.95,57,42,17.67,scattered clouds,0,0
232,Ilulissat,GL,2022-03-21 08:54:43,69.2167,-51.1,-24.39,73,0,6.53,clear sky,0,0
233,Little Current,CA,2022-03-21 08:54:43,45.9793,-81.9248,33.85,96,32,5.26,scattered clouds,0,0
234,Clermont,FR,2022-03-21 08:54:43,49.5,2.4167,48.7,73,10,8.12,clear sky,0,0
235,Diffa,NE,2022-03-21 08:54:44,13.3154,12.6113,94.14,5,97,5.12,overcast clouds,0,0
236,Bijar,IR,2022-03-21 08:54:44,35.8668,47.6051,53.46,26,38,14.81,scattered clouds,0,0
237,Walvis Bay,NA,2022-03-21 08:54:45,-22.9575,14.5053,74.35,68,0,6.91,clear sky,0,0
238,Bloemfontein,ZA,2022-03-21 08:54:45,-29.1211,26.214,67.48,68,20,10.36,few clouds,0,0
239,Ingham,US,2022-03-21 08:54:46,42.6,-84.3833,36.1,100,0,0.0,clear sky,0,0
